millis,epoch,sync,f1LV,f2LV,f3LV,f4LV,f5LV,f1RV,f2RV,f3RV,f4RV,f5RV
79394, 1542380265, 0, 591, 713, 630, 860, 513, 503, 752, 738, 1158, 610
79411, 1542380265, 0, 586, 713, 625, 860, 513, 498, 752, 733, 1158, 610
79421, 1542380265, 0, 586, 708, 625, 860, 508, 498, 752, 733, 1153, 610
79431, 1542380265, 0, 581, 708, 625, 860, 513, 503, 752, 733, 1158, 610
79441, 1542380265, 0, 581, 708, 625, 855, 508, 498, 752, 733, 1158, 610
79451, 1542380265, 0, 586, 708, 625, 855, 513, 503, 752, 733, 1158, 610
79461, 1542380265, 0, 586, 708, 630, 860, 508, 503, 752, 738, 1163, 610
79471, 1542380265, 0, 586, 703, 625, 860, 513, 498, 752, 733, 1158, 610
79481, 1542380265, 0, 586, 708, 625, 860, 513, 498, 752, 733, 1158, 610
79491, 1542380265, 0, 586, 708, 625, 860, 513, 498, 752, 733, 1153, 610
79501, 1542380265, 0, 586, 708, 625, 855, 513, 503, 752, 733, 1158, 610
79511, 1542380265, 0, 586, 708, 625, 860, 513, 498, 752, 733, 1158, 610
79521, 1542380265, 0, 586, 708, 625, 855, 513, 503, 752, 733, 1153, 610
79531, 1542380265, 0, 586, 713, 625, 860, 513, 498, 752, 733, 1158, 610
79541, 1542380265, 0, 586, 708, 625, 860, 508, 498, 752, 733, 1158, 610
79551, 1542380265, 0, 586, 708, 625, 855, 513, 498, 752, 733, 1158, 610
79561, 1542380265, 0, 586, 708, 625, 860, 513, 498, 752, 733, 1153, 610
79571, 1542380265, 0, 586, 708, 625, 860, 513, 498, 752, 728, 1158, 606
79581, 1542380266, 0, 581, 708, 625, 860, 508, 498, 752, 733, 1158, 610
79591, 1542380266, 0, 581, 708, 625, 860, 508, 503, 747, 733, 1158, 610
79601, 1542380266, 0, 586, 708, 625, 860, 513, 498, 752, 738, 1158, 610
79611, 1542380266, 0, 581, 708, 625, 860, 513, 498, 752, 733, 1158, 610
79621, 1542380266, 0, 586, 708, 625, 860, 508, 503, 752, 733, 1158, 610
79631, 1542380266, 0, 581, 708, 625, 855, 513, 503, 752, 733, 1158, 606
79641, 1542380266, 0, 586, 708, 625, 860, 513, 498, 752, 733, 1158, 610
79651, 1542380266, 0, 586, 708, 625, 855, 508, 498, 747, 728, 1158, 606
79661, 1542380266, 0, 586, 708, 625, 860, 513, 498, 752, 733, 1158, 610
79671, 1542380266, 0, 586, 708, 625, 860, 513, 503, 757, 733, 1158, 610
79681, 1542380266, 0, 586, 708, 625, 860, 513, 503, 752, 733, 1158, 606
79691, 1542380266, 0, 586, 713, 625, 860, 513, 503, 752, 733, 1158, 606
79702, 1542380266, 0, 586, 708, 625, 860, 513, 503, 752, 733, 1163, 606
79712, 1542380266, 0, 586, 708, 625, 860, 513, 498, 752, 733, 1158, 610
79722, 1542380266, 0, 586, 708, 625, 860, 513, 498, 752, 733, 1158, 610
79732, 1542380266, 0, 586, 708, 625, 860, 508, 498, 757, 738, 1158, 610
79742, 1542380266, 0, 586, 713, 625, 860, 513, 498, 757, 738, 1163, 610
79752, 1542380266, 0, 591, 708, 625, 860, 508, 498, 757, 728, 1158, 610
79762, 1542380266, 0, 586, 708, 630, 860, 513, 498, 752, 733, 1158, 606
79772, 1542380266, 0, 586, 708, 630, 860, 508, 498, 752, 733, 1158, 606
79782, 1542380266, 0, 586, 708, 625, 860, 513, 498, 752, 733, 1158, 601
79792, 1542380266, 0, 586, 708, 625, 860, 508, 498, 757, 733, 1158, 601
79802, 1542380266, 0, 591, 713, 625, 860, 513, 503, 752, 733, 1158, 601
79812, 1542380266, 0, 591, 708, 630, 860, 513, 503, 757, 733, 1163, 606
79822, 1542380266, 0, 591, 713, 625, 860, 513, 498, 757, 733, 1158, 601
79832, 1542380266, 0, 591, 708, 625, 860, 513, 503, 757, 738, 1163, 601
79842, 1542380266, 0, 586, 713, 625, 860, 508, 498, 757, 733, 1158, 601
79852, 1542380266, 0, 586, 713, 630, 860, 513, 503, 757, 738, 1158, 601
79862, 1542380266, 0, 591, 713, 630, 860, 513, 498, 752, 733, 1158, 601
79872, 1542380266, 0, 586, 708, 625, 860, 513, 498, 757, 738, 1158, 596
79882, 1542380266, 0, 591, 713, 630, 860, 513, 498, 757, 733, 1158, 606
79892, 1542380266, 0, 591, 708, 630, 860, 508, 503, 757, 738, 1153, 601
79902, 1542380266, 0, 591, 708, 630, 860, 508, 498, 757, 733, 1153, 601
79912, 1542380266, 0, 586, 713, 625, 860, 513, 503, 757, 733, 1158, 601
79922, 1542380266, 0, 586, 713, 630, 860, 508, 498, 757, 733, 1153, 601
79932, 1542380266, 0, 591, 713, 630, 860, 513, 498, 757, 733, 1153, 601
79942, 1542380266, 0, 591, 708, 630, 860, 513, 503, 757, 733, 1153, 601
79952, 1542380266, 0, 596, 713, 630, 860, 513, 503, 762, 733, 1158, 601
79962, 1542380266, 0, 596, 713, 630, 860, 508, 498, 757, 733, 1153, 606
79972, 1542380266, 0, 591, 713, 630, 860, 513, 503, 762, 728, 1158, 601
79982, 1542380266, 0, 591, 713, 630, 860, 513, 498, 757, 733, 1153, 596
79992, 1542380266, 0, 591, 713, 630, 860, 513, 498, 762, 733, 1153, 601
80002, 1542380266, 0, 596, 713, 630, 860, 508, 498, 757, 728, 1153, 601
80012, 1542380266, 0, 591, 713, 630, 860, 508, 498, 757, 733, 1153, 596
80022, 1542380266, 0, 591, 718, 635, 860, 513, 503, 762, 738, 1153, 596
80032, 1542380266, 0, 591, 713, 635, 865, 508, 498, 757, 728, 1153, 591
